feature,type,p_value,relevant
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",real,1.7439875651403604e-06,True
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",real,1.7622924742173684e-06,True
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",real,1.8177799880276707e-06,True
value__maximum,real,1.8931716700494158e-06,True
value__autocorrelation__lag_9,real,1.8990228686186162e-06,True
"value__fft_coefficient__attr_""abs""__coeff_10",real,1.957536720389405e-06,True
value__friedrich_coefficients__coeff_0__m_3__r_30,real,2.3206755016696313e-06,True
value__autocorrelation__lag_8,real,2.6889474538507255e-06,True
"value__linear_trend__attr_""stderr""",real,2.704675066645718e-06,True
value__abs_energy,real,2.7167263471904237e-06,True
value__root_mean_square,real,2.7167263471904237e-06,True
value__standard_deviation,real,2.7328749033585675e-06,True
value__variance,real,2.7328749033585675e-06,True
value__friedrich_coefficients__coeff_1__m_3__r_30,real,2.8384013620413207e-06,True
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",real,2.9383232765907733e-06,True
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",real,3.330339168452826e-06,True
value__autocorrelation__lag_7,real,3.4062226095124116e-06,True
value__autocorrelation__lag_6,real,4.494389162471196e-06,True
value__autocorrelation__lag_5,real,5.4286671753472524e-06,True
value__lempel_ziv_complexity__bins_3,real,5.919271914883034e-06,True
