iter	Passed	Remaining
356	5228	9417
357	5243	9403
358	5257	9387
359	5271	9371
360	5285	9355
361	5299	9339
362	5312	9322
363	5326	9306
364	5340	9291
365	5354	9275
366	5368	9259
367	5381	9242
368	5395	9226
369	5409	9210
370	5422	9193
371	5435	9175
372	5449	9160
373	5462	9143
374	5476	9126
375	5489	9110
376	5503	9093
377	5516	9078
378	5530	9061
379	5543	9045
380	5558	9030
381	5571	9014
382	5585	8997
383	5598	8981
384	5612	8965
385	5626	8949
386	5639	8932
387	5652	8916
388	5666	8900
389	5679	8883
390	5693	8867
391	5707	8851
392	5720	8835
393	5734	8819
394	5747	8803
395	5760	8786
396	5774	8770
397	5787	8754
398	5801	8738
399	5815	8722
400	5828	8706
401	5841	8690
402	5855	8674
403	5869	8658
404	5882	8641
405	5895	8625
406	5909	8609
407	5923	8594
408	5937	8578
409	5950	8563
410	5964	8547
411	5978	8532
412	5992	8516
413	6006	8501
414	6020	8486
415	6034	8470
416	6047	8454
417	6060	8438
418	6074	8422
419	6088	8407
420	6102	8392
421	6115	8376
422	6129	8361
423	6143	8345
424	6156	8329
425	6170	8313
426	6184	8298
427	6198	8284
428	6212	8268
429	6225	8252
430	6238	8236
431	6253	8221
432	6266	8206
433	6279	8189
434	6293	8174
435	6307	8159
436	6321	8144
437	6335	8128
438	6349	8113
439	6363	8098
440	6376	8083
441	6390	8067
442	6403	8051
443	6417	8036
444	6430	8020
445	6445	8005
446	6459	7991
447	6473	7976
448	6486	7960
449	6500	7944
450	6514	7929
451	6527	7914
452	6541	7898
453	6554	7882
454	6567	7867
455	6581	7852
456	6595	7836
457	6609	7821
458	6623	7806
459	6636	7791
460	6650	7775
461	6664	7760
462	6677	7744
463	6691	7729
464	6704	7713
465	6717	7697
466	6731	7682
467	6745	7668
468	6759	7652
469	6773	7637
470	6786	7622
471	6800	7606
472	6814	7592
473	6827	7576
474	6840	7560
475	6854	7545
476	6868	7530
477	6881	7515
478	6895	7499
479	6909	7484
480	6922	7469
481	6936	7454
482	6950	7439
483	6963	7423
484	6977	7409
485	6991	7394
486	7004	7378
487	7018	7363
488	7032	7348
489	7046	7333
490	7060	7319
491	7074	7304
492	7087	7288
493	7101	7273
494	7114	7258
495	7128	7243
496	7142	7228
497	7155	7213
498	7169	7198
499	7183	7183
500	7196	7167
501	7211	7153
502	7225	7138
503	7238	7123
504	7252	7108
505	7266	7093
506	7280	7079
507	7293	7064
508	7307	7049
509	7321	7034
510	7334	7018
511	7348	7003
512	7362	6989
513	7375	6973
514	7389	6959
515	7403	6944
516	7417	6930
517	7431	6915
518	7445	6900
519	7458	6884
520	7472	6870
521	7485	6854
522	7499	6839
523	7513	6824
524	7527	6810
525	7541	6795
526	7555	6781
527	7570	6767
528	7583	6752
529	7597	6737
530	7610	6721
531	7623	6706
532	7637	6691
533	7651	6677
534	7665	6662
535	7679	6647
536	7692	6632
537	7706	6618
538	7720	6603
539	7734	6588
540	7747	6573
541	7762	6559
542	7775	6544
543	7790	6529
544	7804	6515
545	7818	6500
546	7832	6486
547	7845	6471
548	7859	6456
549	7873	6441
550	7886	6426
551	7900	6411
552	7914	6397
553	7927	6381
554	7941	6367
555	7954	6351
556	7967	6337
557	7981	6322
558	7994	6307
559	8008	6292
560	8021	6277
561	8034	6262
562	8049	6247
563	8063	6233
564	8076	6218
565	8091	6204
566	8105	6189
567	8118	6174
568	8132	6160
569	8146	6145
570	8159	6130
571	8173	6116
572	8187	6101
573	8202	6087
574	8217	6073
575	8231	6059
576	8244	6044
577	8258	6029
578	8272	6014
579	8286	6000
580	8299	5985
581	8313	5970
582	8327	5956
583	8341	5941
584	8355	5927
585	8368	5912
586	8382	5897
587	8396	5883
588	8410	5868
589	8424	5854
590	8438	5839
591	8451	5825
592	8465	5810
593	8479	5795
594	8493	5781
595	8506	5766
596	8521	5752
597	8535	5737
598	8548	5722
599	8562	5708
600	8576	5693
601	8589	5678
602	8602	5663
603	8616	5649
604	8630	5634
605	8644	5620
606	8658	5605
607	8671	5590
608	8685	5576
609	8698	5561
610	8711	5546
611	8725	5531
612	8739	5517
613	8752	5502
614	8766	5488
615	8780	5473
616	8793	5458
617	8807	5443
618	8821	5429
619	8834	5414
620	8848	5400
621	8863	5386
622	8876	5371
623	8890	5357
624	8903	5342
625	8917	5327
626	8931	5313
627	8945	5298
628	8959	5284
629	8973	5269
630	8987	5255
631	9001	5241
632	9014	5226
633	9028	5211
634	9041	5197
635	9055	5182
636	9068	5167
637	9082	5153
638	9095	5138
639	9109	5124
640	9122	5109
641	9136	5094
642	9150	5080
643	9164	5066
644	9179	5052
645	9193	5037
646	9206	5023
647	9220	5008
648	9234	4994
649	9248	4979
650	9262	4965
651	9276	4951
652	9291	4937
653	9305	4922
654	9318	4908
655	9332	4893
656	9345	4878
657	9358	4864
658	9372	4849
659	9386	4835
660	9400	4821
661	9413	4806
662	9427	4791
663	9440	4777
664	9454	4762
665	9467	4747
666	9481	4733
667	9494	4719
668	9508	4704
669	9522	4690
670	9536	4675
671	9549	4661
672	9563	4646
673	9576	4632
674	9590	4617
675	9604	4603
676	9618	4588
677	9631	4574
678	9645	4559
679	9659	4545
680	9672	4530
681	9687	4516
682	9701	4502
683	9714	4488
684	9728	4473
685	9743	4459
686	9756	4445
687	9770	4430
688	9784	4416
689	9798	4402
690	9812	4388
691	9826	4373
692	9840	4359
693	9854	4344
694	9867	4330
695	9881	4315
696	9894	4301
697	9908	4287
698	9922	4272
699	9936	4258
700	9949	4243
701	9963	4229
702	9977	4215
703	9991	4200
704	10004	4186
705	10018	4171
706	10031	4157
707	10046	4143
708	10059	4128
709	10073	4114
710	10087	4100
711	10101	4085
712	10115	4071
713	10128	4057
714	10142	4042
715	10156	4028
716	10170	4014
717	10183	3999
718	10196	3985
719	10210	3970
720	10223	3956
721	10237	3941
722	10250	3927
723	10263	3912
724	10277	3898
725	10291	3884
726	10305	3869
727	10319	3855
728	10332	3841
729	10346	3826
730	10360	3812
731	10374	3798
732	10387	3783
733	10400	3769
734	10414	3754
735	10428	3740
736	10442	3726
737	10455	3711
738	10469	3697
739	10483	3683
740	10497	3669
741	10510	3654
742	10524	3640
743	10537	3625
744	10551	3611
745	10564	3597
746	10578	3582
747	10591	3568
748	10605	3554
749	10619	3539
750	10633	3525
751	10647	3511
752	10661	3497
753	10674	3482
754	10688	3468
755	10702	3454
756	10715	3439
757	10729	3425
758	10743	3411
759	10756	3396
760	10770	3382
761	10784	3368
762	10797	3353
763	10811	3339
764	10824	3325
765	10838	3311
766	10852	3296
767	10865	3282
768	10878	3267
769	10892	3253
770	10905	3239
771	10919	3224
772	10932	3210
773	10945	3196
774	10959	3181
775	10973	3167
776	10986	3153
777	11000	3138
778	11013	3124
779	11027	3110
780	11041	3096
781	11054	3081
782	11068	3067
783	11082	3053
784	11095	3038
785	11108	3024
786	11122	3010
787	11135	2995
788	11149	2981
789	11162	2967
790	11177	2953
791	11190	2939
792	11203	2924
793	11217	2910
794	11230	2896
795	11244	2881
796	11258	2867
797	11272	2853
798	11286	2839
799	11300	2825
800	11314	2810
801	11328	2796
802	11341	2782
803	11355	2768
804	11368	2753
805	11382	2739
806	11396	2725
807	11410	2711
808	11423	2697
809	11437	2682
810	11450	2668
811	11464	2654
812	11477	2639
813	11491	2625
814	11505	2611
815	11518	2597
816	11531	2582
817	11545	2568
818	11559	2554
819	11573	2540
820	11587	2526
821	11600	2512
822	11614	2497
823	11627	2483
824	11641	2469
825	11654	2455
826	11668	2440
827	11682	2426
828	11696	2412
829	11710	2398
830	11723	2384
831	11738	2370
832	11751	2356
833	11765	2341
834	11779	2327
835	11793	2313
836	11807	2299
837	11820	2285
838	11834	2271
839	11848	2256
840	11861	2242
841	11875	2228
842	11888	2214
843	11902	2199
844	11916	2185
845	11929	2171
846	11943	2157
847	11957	2143
848	11971	2129
849	11985	2115
850	11998	2100
851	12013	2086
852	12027	2072
853	12040	2058
854	12054	2044
855	12068	2030
856	12081	2015
857	12096	2001
858	12110	1987
859	12124	1973
860	12138	1959
861	12152	1945
862	12166	1931
863	12180	1917
864	12194	1903
865	12208	1889
866	12221	1874
867	12236	1860
868	12249	1846
869	12263	1832
870	12276	1818
871	12290	1804
872	12304	1789
873	12318	1775
874	12331	1761
875	12345	1747
876	12359	1733
877	12373	1719
878	12387	1705
879	12400	1691
880	12414	1676
881	12428	1662
882	12441	1648
883	12455	1634
884	12469	1620
885	12483	1606
886	12497	1592
887	12510	1577
888	12524	1563
889	12538	1549
890	12553	1535
891	12567	1521
892	12581	1507
893	12594	1493
894	12608	1479
895	12622	1465
896	12636	1451
897	12650	1436
898	12664	1422
899	12678	1408
900	12691	1394
901	12705	1380
902	12719	1366
903	12733	1352
904	12747	1338
905	12759	1323
906	12774	1309
907	12788	1295
908	12802	1281
909	12816	1267
910	12829	1253
911	12843	1239
912	12857	1225
913	12871	1211
914	12885	1197
915	12899	1182
916	12913	1168
917	12927	1154
918	12941	1140
919	12954	1126
920	12968	1112
921	12982	1098
922	12996	1084
923	13010	1070
924	13023	1055
925	13036	1041
926	13050	1027
927	13063	1013
928	13077	999
929	13091	985
930	13106	971
931	13119	957
932	13133	943
933	13147	929
934	13161	914
935	13175	900
936	13189	886
937	13202	872
938	13215	858
939	13229	844
940	13244	830
941	13258	816
942	13272	802
943	13286	788
944	13300	774
945	13314	760
946	13328	745
947	13341	731
948	13355	717
949	13368	703
950	13382	689
951	13395	675
952	13410	661
953	13423	647
954	13437	633
955	13451	619
956	13466	605
957	13480	591
958	13495	576
959	13511	562
960	13528	549
961	13557	535
962	13571	521
963	13586	507
964	13600	493
965	13615	479
966	13631	465
967	13646	451
968	13662	437
969	13677	423
970	13692	408
971	13708	394
972	13723	380
973	13738	366
974	13754	352
975	13768	338
976	13784	324
977	13799	310
978	13814	296
979	13831	282
980	13846	268
981	13861	254
982	13877	240
983	13894	225
984	13910	211
985	13927	197
986	13944	183
987	13960	169
988	13976	155
989	13992	141
990	14009	127
991	14026	113
992	14042	98
993	14058	84
994	14076	70
995	14092	56
996	14108	42
997	14124	28
998	14140	14
999	14156	0
