iter	MultiClass
0	1.535247512
1	1.480735515
2	1.436896055
3	1.401370131
4	1.370955752
5	1.346128142
6	1.325181199
7	1.306761575
8	1.290650893
9	1.277985593
10	1.265908918
11	1.254538622
12	1.245069378
13	1.237765886
14	1.231128485
15	1.22507186
16	1.219256788
17	1.213068473
18	1.208118816
19	1.202762555
20	1.198042359
21	1.193333356
22	1.189029812
23	1.186414915
24	1.183646714
25	1.180843625
26	1.177071224
27	1.174281133
28	1.171845636
29	1.168926427
30	1.166231528
31	1.164017148
32	1.161698469
33	1.159360312
34	1.157019957
35	1.155257786
36	1.153261448
37	1.151299003
38	1.149204731
39	1.147196994
40	1.145187292
41	1.143567806
42	1.142027157
43	1.140228747
44	1.138212297
45	1.136879897
46	1.135003343
47	1.133647602
48	1.132369008
49	1.131210452
50	1.129932539
51	1.128940402
52	1.127933425
53	1.126588239
54	1.125428955
55	1.124441169
56	1.123374919
57	1.122230374
58	1.121122501
59	1.119995073
60	1.1185589
61	1.117410897
62	1.116276524
63	1.115030516
64	1.113711982
65	1.112582353
66	1.111391107
67	1.110114056
68	1.10894746
69	1.107825955
70	1.106936983
71	1.105580852
72	1.104428384
73	1.103457309
74	1.102712578
75	1.10191983
76	1.101054905
77	1.100036902
78	1.09931043
79	1.098360632
80	1.097503291
81	1.096546933
82	1.095401972
83	1.09467306
84	1.094102948
85	1.092876997
86	1.091570859
87	1.090923216
88	1.089933916
89	1.08944184
90	1.088728835
91	1.087841622
92	1.086729524
93	1.085371725
94	1.084628538
95	1.083998176
96	1.083274499
97	1.082532784
98	1.081743192
99	1.080887532
100	1.079847979
101	1.079089839
102	1.078229142
103	1.077199669
104	1.076469807
105	1.075643018
106	1.074707124
107	1.074022024
108	1.073354165
109	1.07280052
110	1.071876549
111	1.071069171
112	1.070322222
113	1.069371047
114	1.068844121
115	1.068300969
116	1.067390359
117	1.066679511
118	1.065990684
119	1.065094454
120	1.064522748
121	1.063912179
122	1.063205583
123	1.062323292
124	1.061421778
125	1.060239099
126	1.059726741
127	1.05899174
128	1.058380252
129	1.057336325
130	1.05653456
131	1.055863862
132	1.055014585
133	1.054128198
134	1.053120125
135	1.052416844
136	1.051763386
137	1.050875366
138	1.050042777
139	1.049303
140	1.048853398
141	1.048283945
142	1.047708762
143	1.046711671
144	1.045864018
145	1.045075529
146	1.044439336
147	1.04344875
148	1.042549307
149	1.041685972
150	1.04071588
151	1.039826722
152	1.03915261
153	1.038329441
154	1.037581594
155	1.036896284
156	1.03624869
157	1.035582883
158	1.034683213
159	1.0340247
160	1.033005816
161	1.032206356
162	1.031417548
163	1.030878729
164	1.030422996
165	1.029733582
166	1.029274509
167	1.028710921
168	1.027652175
169	1.02691281
170	1.026265667
171	1.025634129
172	1.02524604
173	1.024581158
174	1.023975565
175	1.023634952
176	1.022959364
177	1.021949777
178	1.021157536
179	1.020439726
180	1.019637017
181	1.019019331
182	1.018575453
183	1.01794537
184	1.017365893
185	1.016731545
186	1.016112152
187	1.015694003
188	1.014992521
189	1.01445027
190	1.014087796
191	1.01342274
192	1.012992916
193	1.012385278
194	1.01178542
195	1.011170397
196	1.010662941
197	1.009884546
198	1.009250363
199	1.00876264
200	1.008298234
201	1.007425467
202	1.006960647
203	1.006453809
204	1.005511452
205	1.004936906
206	1.004281118
207	1.00375504
208	1.003228883
209	1.002527858
210	1.001969031
211	1.001247843
212	1.000774918
213	0.9999045408
214	0.9992565136
215	0.9988479384
216	0.998254681
217	0.9976131728
218	0.9971599877
219	0.9965313776
220	0.9954220108
221	0.9951113163
222	0.9947434108
223	0.994111167
224	0.993593855
225	0.9928789057
226	0.9921425055
227	0.9916642612
228	0.9913450851
229	0.9909492312
230	0.9903751174
231	0.9898320676
232	0.9890860859
233	0.988590485
234	0.9880455948
235	0.9873059562
236	0.9867259859
237	0.9859715238
238	0.9854128649
239	0.9850849985
240	0.9846436751
241	0.9839650696
242	0.9831486269
243	0.982555391
244	0.9821110384
245	0.9813863194
246	0.9806882262
247	0.9801964388
248	0.9797339527
249	0.9794299057
250	0.9790825921
251	0.9781911233
252	0.9778574971
253	0.9772871481
254	0.97692932
255	0.9764163737
256	0.9756226107
257	0.9751997457
258	0.9746062791
259	0.9742811823
260	0.9738614424
261	0.9730841471
262	0.9725585439
263	0.9720492492
264	0.9717049423
265	0.9712495887
266	0.9705421481
267	0.9700831454
268	0.969462031
269	0.9690037831
270	0.9683512819
271	0.9674172815
272	0.9672108958
273	0.9666513599
274	0.9661996499
275	0.965817609
276	0.9651930056
277	0.964546689
278	0.9636966401
279	0.9630123096
280	0.9625749537
281	0.9619436598
282	0.9614122691
283	0.9605603375
284	0.9596322862
285	0.9589888249
286	0.9581021928
287	0.9576639689
288	0.9569863125
289	0.9564155837
290	0.9558273671
291	0.9552205868
292	0.9545518335
293	0.9540413299
294	0.95353962
295	0.9527444561
296	0.9522664626
297	0.9518056348
298	0.9514878884
299	0.9509526588
300	0.9503069581
301	0.9498449573
302	0.9492592591
303	0.9485822198
304	0.9477983054
305	0.9470831066
306	0.9465398614
307	0.9459180702
308	0.945138294
309	0.9446437044
310	0.9438510308
311	0.9434293706
312	0.9427564991
313	0.9422704406
314	0.941473134
315	0.9406837954
316	0.939779816
317	0.9391396396
318	0.938560698
319	0.9380882842
320	0.937549765
321	0.9371317481
322	0.9366239159
323	0.9361620083
324	0.93530733
325	0.9348726936
326	0.9342519734
327	0.9337335027
328	0.93328086
329	0.9324323651
330	0.9317111597
331	0.9311062774
332	0.9305201243
333	0.929993197
334	0.929536871
335	0.9290365796
336	0.9284329294
337	0.9278895531
338	0.9272444224
339	0.9267761595
340	0.926206809
341	0.92556628
342	0.9249738953
343	0.9243838224
344	0.9240332916
345	0.9233291396
346	0.9226115889
347	0.9220506855
348	0.9213872631
349	0.9209100253
350	0.9200542717
351	0.9191279573
352	0.9183486568
353	0.9176214336
354	0.9171184337
355	0.9164710013
356	0.9159760008
357	0.9151663132
358	0.9145671709
359	0.9141627277
360	0.913526137
361	0.9131170478
362	0.9127869455
363	0.912017961
364	0.9111197728
365	0.910738998
366	0.9102416382
367	0.9097205367
368	0.9091324653
369	0.9084661962
370	0.9079883659
371	0.9075879456
372	0.9069492335
373	0.9064724685
374	0.9061176633
375	0.9054879951
376	0.9048558914
377	0.904160777
378	0.903790943
379	0.9033216667
380	0.9027862368
381	0.9020798827
